会社名,勤務地,給与
株式会社ディスコ  | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,東京本社／東京都大田区大森北 2丁目13番11号 ※原則転勤はありません,月給35万円〜50万円
株式会社ディスコ  | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,東京本社／東京都大田区大森北 2丁目13番11号 ※原則転勤はありません,月給30〜50万円
株式会社ディスコ  | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,東京本社／東京都大田区大森北 2丁目13番11号 ※原則転勤はありません,月給35万円〜50万円
パナソニックリビング株式会社 | 充実した福利厚生／サポート力・調整力のある方歓迎です！,高崎、宇都宮、長野、新潟、本社（中央区築地）いずれかに配属。 ※通勤圏内を基本に希望を考慮のうえ配…,"【 大卒 】月給217,000円 〜 + 諸手当"
株式会社電算 | 大阪・梅田勤務！★年休120日以上／土日祝日休み／完全週休2日制,★人気の梅田から徒歩スグ！食事やショッピングにも便利♪ 【大阪支社】 大阪府大阪市北区堂島1-5-…,月給：20万円以上
株式会社藪崎工務店 | ★創業81年・デザインと技術にこだわる、地域密着の建設会社,【転勤なし・交通費全額支給】 ★「王子駅」徒歩10分 ■東京都北区王子1‐29‐5‐101,■月給36万円〜42万円（一律手当含む）
有限責任監査法人トーマツ,■二重橋オフィス／東京都千代田区丸の内3-2-3　丸の内二重橋ビルディング ＜アクセス＞ 地下鉄千…,月給23万円以上　※その他：交通費、残業手当（上限無し）
ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【紀尾井町オフィス】 東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 【大阪グランフロン…,月給：28万円〜57万円
ベイクロスマーケティング株式会社 | 過去最高業績を更新中◆20～30代活躍中◆完全週休2日制(土日祝),本社／東京都渋谷区広尾5-19-10 WILL HAGIYA BUILDING 5F 《アクセス》…,■未経験者：
株式会社NTTデータ関西 | 【関西トップクラスのSIer】※年間休日122日 ※残業平均月21.3h,本社／大阪府大阪市北区堂島3-1-21 NTTDATA堂島ビル 【アクセス】 ・JR環状線「福島」…,"月給21万1,790円〜"
PwCビジネスアシュアランス合同会社,◎東京・大阪・名古屋いずれかでの勤務になります。 【東京事務所】 東京都千代田区大手町1-1-1　…,"◆月給254,590円以上"
株式会社ペイロール | 給与計算業務アウトソーシング国内トップクラスのシェア,札幌市北区北7条西1丁目1-2 SE札幌ビル3階 転勤なし＆駅チカオフィスです！ U・Iターン歓迎…,"月給：232,000円〜384,000円"
株式会社クリエイテラ | 【コロナ禍でも過去最高益のアプリ開発専門会社】原則定時退社！,★転勤なし！ 〈住所〉 東京都千代田区富士見1-2-25山京ビル富士見101 ＜アクセス＞ 各線「…,月給／25万円以上
株式会社ベイカレント・コンサルティング  | 東証一部上場,東京都港区虎ノ門1丁目23-1 虎ノ門ヒルズ森タワー9階,月給35万円〜＋固定残業代（9万2486円） 
ACJ株式会社 | ★完全土日祝休み ★残業月15~20h ★有給休暇取得100%の社員も,★転勤なし ★U・Iターン歓迎 ★東京都・千葉県・神奈川県・北海道の各プロジェクト先 【各プロジェ…,【経験者】
アイスター株式会社 | 【住友倉庫グループ】賞与年2～3回／大阪府緊急雇用対策に賛同,■大阪府内のプロジェクト先、または大阪本社 ※プロジェクト先により異なります ※社宅完備 ◎大阪本…,月給21万円以上＋諸手当＋賞与年2〜3回
アットホーム株式会社 | ◆創業50年以上の安定企業◆業界のリーディングカンパニー,東京都千代田区内幸町1-3-2 内幸町東急ビル 【交通アクセス】 都営三田線「内幸町駅」徒歩2分…,月給21万円〜
住友重機械工業株式会社 | ＜東証1部上場＞,【東京・千葉・愛媛いずれかにて勤務】 ※初任地はご希望に応じお選びいただけます ・東京都品川区大崎…,月給22万円以上
株式会社ジェーシービー | 誰もが知る日本発の国際カードブランド,高田馬場オフィスへの勤務　※転勤:当面なし ◆高田馬場オフィス/東京都新宿区大久保3-8-2 住友…,"月給253,000円〜"
