会社名,勤務地,給与
株式会社スロウアイランズ | ★直取引あり！在宅ワークを導入中★有給1H～取得可,【転居を伴う転勤なし】 東京都港区赤坂2-14-11 天翔赤坂ビル508 ＜アクセス＞ 各線「赤坂…,月給25.6万円〜47万円
ForeVision株式会社 | ★完全週休2日(土日)★年間休日124日★在宅勤務推奨★フレックス,★転勤なし 東京都中央区築地 5-6-10 浜離宮パークサイドプレイス 15階 ＜アクセス＞ 都営…,【月給】42万5000円〜
株式会社日本アムスコ | 大手の開発プロジェクトにCAE解析で貢献／残業月20h程度と少なめ,＜神戸本社及び、名古屋、東京、広島のいずれかの事業所＞ ※ご希望を考慮します、お気軽にご相談くださ…,"◆大卒：月給20万2,000円〜"
イーテック・ジャパン株式会社 | 東証一部上場・日本空調サービス100％出資◆大手/官公庁と直取引,◎転勤なし ◎潮見駅より徒歩2分の好立地！ 【本社】 東京都江東区潮見2-1-7 〈アクセス〉 J…,"月給18万4,000円〜＋賞与(昨年度4.5ヶ月分) ＋時間外手当(全額)"
株式会社ITAGE GLOBAL | 今の時代に合わせた働き方で、スキルUPも家庭との両立も可能,【 名古屋本社にて勤務(栄駅より徒歩3分) 】 ★転勤なし・Web面接可 【 本社 】 愛知県名古…,【 月給25万円〜40万円＋諸手当 】
デキュリオン株式会社 | 土日休み／年休125日＋有給／研修、退職金、お祝い金、など充実,【本社】 東京都千代田区内神田1-9-8蔵町ビル2F 【アクセス】 「神田」駅西口より徒歩5分 「…,年俸制 350万円〜 ＋諸手当
株式会社アイドマ・ホールディングス | ★「第二創成期」を支えるスタートアップメンバー★業界未経験OK,【転勤なし・交通費手当（月2万円まで）】 ★「池袋駅」徒歩5分 ■東京本社／東京都豊島区南池袋2-…,■月給25万円〜
Trilium株式会社 | 土日祝休み・年休130日以上・残業月10H以内・在宅勤務/副業OK,★転勤なし ★希望や住まいも考慮して勤務先を決定します 【本社】 東京都千代田区神田和泉町1-13…,月給／35万円〜70万円
株式会社i-NOS | ★東証一部上場グループ　★実働7.5h＋残業月13h,【UIターン歓迎／WEB面接もOK／面接基本1回】 首都圏（東京都、千葉県、埼玉県、神奈川県）のプ…,月給24万円以上＋残業代全額支給＋技能手当＋賞与年2回
株式会社オートテクニックジャパン | ホンダの研究開発をサポート！◎前年度賞与実績5.3か月分,栃木県芳賀郡の本社地区での勤務となります。 ※マイカー通勤OK！ ※独身者向けの借り上げ社宅制度あ…,月給19万400円〜＋各種手当＋賞与年2回(2020年度実績5.3か月分)
株式会社日立ハイテクフィールディング | 世界の最先端を牽引する日立ハイテクノロジーズGrの中核企業,◆本社 東京都港区虎ノ門一丁目17番1号 虎ノ門ヒルズ ビジネスタワー 《アクセス》 ・JR「新橋…,"◆高卒：月給166,300円"
浜松ホトニクス株式会社 | 【東証一部上場】ホワイト500認定企業／定着率99.2％／年休121日,【転勤なし】【マイカー通勤OK】 常光製作所／静岡県浜松市東区常光町812,月給21万円以上
株式会社LIC | 中途入社の定着率が自慢／20・30代活躍中／転職準備金制度あり！,【転勤なし】 北海道札幌市中央区南3条西10丁目 南三条スクエアビル ※地下鉄東西線「西11丁目駅…,"月給：250,000円〜410,000円（一律支給手当込み）"
日本アクセス株式会社 | ★テレワーク実施中 ★U&Iターン歓迎 ★転勤なし ,【テレワーク実施中】【転勤なし】 名古屋事業所および近隣のクライアント（直行直帰） U&Iターン歓…,【経験者】
株式会社アレグロマジック | 【安定基盤のソウテングループ】※大阪府緊急雇用対策に賛同,大阪本社／ 大阪府大阪市中央区南久宝寺町2-6-7 SOUTENビル 4F 【交通アクセス】 地下…,月給40万円以上＋諸手当＋賞与年2回
株式会社日立システムズ | <人とITの力で、驚きと感動のサービスを>,《アクセス》 JR「大崎駅」徒歩3分 本社／東京都品川区大崎1-2-1　大崎フロントタワー,月給23万4500円以上
トール株式会社 | 技術もビジネススキルも習得！★平均年齢28歳★未経験大歓迎,《渋谷本社》もしくは《東京都内の各プロジェクト先》 ※入社から5ヶ月は本社で研修を行ないます。 ※…,月給23万円以上＋各種手当＋賞与年2回
株式会社フェニシス  | バンダイナムコグループなど、大手エンタメ系企業と直接取引あり,★転勤なし★3路線より通勤が出来ます 本社／東京都中央区東日本橋3-3-15 マウンテンビル4階…,月給26万円〜40万円
株式会社ブリッジ | ★服装自由 ★土日祝休み ★年休120日以上 ★残業月25ｈ以内,今年2月に増床移転！市ヶ谷駅そばの新オフィスで勤務していただきます。 【所在地】 東京都千代田区九…,◆月給28万円〜43万円
株式会社T2Lab | ◆客先常駐ゼロ ◆リモートあり ◆土日祝休み ◆有給取得率100%,★初台駅より徒歩5分／新宿駅も徒歩圏内！ ★転勤なし！ 〈西新宿オフィス〉 東京都新宿区西新宿3-…,"〈月給〉250,000円 〜 420,000円"
株式会社トゥインクル,《東京都、神奈川県、埼玉県、千葉県》 などの各プロジェクト先での勤務となります。 ※勤務地は希望を…,月給35〜60万円
株式会社吉田東光 | [太平洋セメントの特約代理店] ◆WEB面接OK！ ◆土日の隔週休2日,【本社】埼玉県さいたま市中央区下落合6-4-5 ※各営業所への外出の機会あり。基本的に電車での移動…,【月給】25万円以上
株式会社gumi | 全世界1000万ダウンロード超「誰ガ為のアルケミスト」を手がける,【都庁前駅より徒歩8分◆本社勤務】 東京都新宿区西新宿4-34-7　住友不動産西新宿ビル5号館3階…,"【月給】333,334円〜583,334円"
アラクサラネットワークス株式会社,★原則として転勤はありません。本社(川崎市)勤務 【本社】 神奈川県川崎市幸区鹿島田1丁目1番2号…,月給23万円以上
株式会社B・P・S | 【大阪府緊急雇用対策に賛同】成長を遂げる実力派企業,勤務地は、ご希望をお伺いして配属します。 ■東京オフィス／東京都豊島区東池袋3-2-3　第一主田ビ…,■経験者／月給27万円〜50万円
有限会社グリーンフラグ | 10時出社／ゲーム案件・リモート案件あり／自社商品も開発予定,■本社／東京都品川区西五反田6-24-15 Y.BLDG4F・8F ＜各プロジェクト先＞ ■品川、…,年俸制400万円以上（14分割）
株式会社コネクテッド | 自社開発100％｜直取引案件｜下流～上流まで幅広く携われます,【リモートワーク勤務！】【転勤なし】【直行・直帰可】 ※ノートPC(リモート用ツール導入済)と社用…,月給25万円〜50万円＋決算賞与(業績により支給)
株式会社Point | 今の仕事や働き方、満足してますか？<リモート勤務OK／残業ナシ>, ＼＼地下鉄駅チカ・引越し費用補助／／ 北海道札幌市中央区南1条東3丁目10-6 TAISEIビル…,"月給／240,000円〜375,000円(残業代含めず)"
オーディー株式会社 | ◎応募条件に合う方は基本会います！ ◎土日休み ◎残業少なめ,港区または江東区の拠点で活躍。 ※希望を考慮のうえ決定します。 【本社】 東京都港区西新橋2-22…,月給：20万円〜31万円 ＋ 各種手当
株式会社ソフトハート | 創業30年超の老舗SIer／有給取得日数：年平均12.3日,【転居を伴う転勤なし！本社、東京営業所もしくは東京・大阪・兵庫・京都の各プロジェクト先】 ※配属先…,月給25万円〜＋各種手当+賞与年3回（昨年：平均4.5ヶ月分）
株式会社カイエンシステム開発 | 創業30年／顧客管理・営業支援システムのはじめてをサポート,【転勤なし！在宅ワーク実施中！】 東京都渋谷区幡ヶ谷2-27-7　ワコーレ幡ヶ谷ビル5階,月給29.2万円〜45万円
株式会社エフィックラボ | 未経験でも月給24万円以上／自社パッケージソフト「Simpflex」,【転勤なし／勤務地は選択可能】 福岡市博多区、または筑紫野市いずれかの拠点へ配属 福岡県福岡市博多…,未経験：月給24万円〜(一律手当含む）＋諸手当
マース・アンド・コー・コンサルティング・ジャパン有限会社 | 欧米・アジアに7つのオフィス／戦略コンサルティング・ファーム,東京都千代田区麹町1-7-25 フェルテ麹町ビル6F ※転勤なし ※プロジェクトに応じて、海外およ…,年棒制／年棒500万円〜
株式会社フォーラム・サイエンス | ☆直近1年の定着率98％以上！エンジニアが笑顔で働ける環境☆,【転勤はありません！】 本社またはプロジェクト先（東京・神奈川・千葉・埼玉） ◆本社／東京都豊島区…,【未経験者】
株式会社カーネルジャパン | ◆土日祝休み(年間休日125日)◆面接1回(即内定可)◆20代活躍中♪,【転居を伴う転勤なし】 ◆東京または首都圏(千葉/神奈川/埼玉)の各プロジェクト先 ◎新宿オフィス…,月給18万円〜80万円 + 成果給 + 各種手当
株式会社ヴェス | 市場規模は約5兆円◎累計1万件超の実績【第三者検証の専門企業】,◆東京本社及び東京都、神奈川、岩手の各プロジェクト先 【東京本社】 東京都新宿区四谷2-11-6　…,◆未経験者：月給21万円以上＋賞与年2回 
株式会社クラウディオプログレス | 完全週休2日制・土日祝休み・年休120日以上・フレックスタイム制,★転勤なし！ ★自分の好きな街で働きたい方やU・Iターンも特に歓迎します！ ★在宅勤務となりますの…,月給／30万円〜
ZACソリューション株式会社 | ◆ビッグデータを戦略的に活用するのに必要な「BIツール」を扱う,首都圏近郊（東京、神奈川）、九州（福岡、熊本）のプロジェクト先 ※勤務地はご希望を考慮します。 【…,【未経験者】月給23万円〜
医療法人福岡桜十字 | 【売上520億円超の桜十字グループ】★福岡採用★基本残業なし,【転勤なし】 ★最寄駅から徒歩1分 ★「渡辺通駅」「天神南駅」「西鉄福岡(天神)駅」「天神駅」の4…,【月給25万円以上】
ユニバーサルナレッジ株式会社 | ★フルリモート・定時出勤なし★年間休日123日（土日祝休み）,＼フルリモートのため、日本全国どこからでも勤務可能／ ★転勤なし ★通信費やPC機器の補助制度あり…,年俸450万円〜600万円（14分割した金額を毎月支給／月額32.1万円〜42.8万円）
株式会社インコス | 創業30周年を迎え更なる飛躍を目指して増員募集！,＜転居を伴う転勤はありません/テレワーク導入中！＞ ◆本社 東京都新宿区西新宿7-21-1新宿ロイ…,月給23万〜55万円
株式会社日立ソリューションズ | 「創業110年の日立グループ」世の中を便利に、楽しくする会社,＜横浜事業所＞ 横浜市戸塚区吉田町292 ＜アクセス＞ 各線「戸塚駅」より徒歩8分,月給：23万円〜＋各種手当
上海中和軟件有限公司 | (上海中和株式会社)◆大手直取引◆日中合弁企業として1991年設立,★転勤なし ★U・Iターン歓迎 ★テレワーク実施中 ◆全国(東京23区、神奈川県横浜市、愛知県名古…,年俸：540万円〜1200万円
株式会社ライズテック | 【2006年設立の独立系SIer】残業月12h程度／最大9連休取得可能,《在宅勤務実施中！》本社またはプロジェクト先(東京都内中心)での勤務となります。 ◆本社／東京都中…,月給30万円〜45万円
株式会社メビウス | 企業・大学と直取引で受託のみ ＆ 家賃最大60％補助など手当充実,《居住地・希望を考慮》 東京(品川)または、京都(堀川通三条下ル西側)の事業所に配属します。 ………,■月給24万円〜45万円
株式会社サンワ | 2020年過去最高収益★今も成長を続けるオリジナルグッズメーカー,埼玉県戸田市新曽2002-12　市ヶ谷ビル JR埼京線「北戸田」駅より徒歩1分,初年度年俸制400万円〜650万円 ※年次昇給あり
株式会社クオリア・リンクス | ＜案件豊富＞エンジニアファーストの体現を目指すベンチャー企業,★転勤なし★新オフィスに移転！ 本社／東京都中央区築地2丁目1番16号　STRADA GINZA…,月給50万円以上＋諸手当（交通費全額支給、資格手当、報酬金制度など）
フューチャーネット株式会社 | ◎高い社員定着率 ◎充実の研修 ◎残業ほぼゼロ ◎若手活躍中,◆◆ 転勤なし・福岡市内限定勤務の募集 ◆◆ ＜＜ UIターン者も大歓迎です！ ＞＞ 福岡市内にあ…,"月給180,000円〜220,000円 + 諸手当"
有限会社セラリンク | AIなど最先端の開発現場でも実績あり／大阪府緊急雇用対策に賛同,※原則、100%リモートワークです。 ※プロジェクトの所在地は大阪市内を中心に、関西圏全域に渡りま…,■未経験者
株式会社サイエンスインパクト | 大学の研究室発！（宇宙線ラジオグラフィー研究・情報技術）,【全国どこでも勤務可能】100％テレワーク ▼利用可能なオフィス 長野県塩尻市大門八番町1-2 塩…,月給19万円以上
株式会社エアスポット | AIやドローンを活用した自社サービスの開発にも取り組んでいます,【転勤なし】 福岡市内の各プロジェクト先へ配属します（直行直帰） ◆本社 福岡県福岡市中央区薬院3…,月給／24万円以上　＋諸手当
ソリッドシード株式会社 | 遠方からの入社実績も多数！入社準備金上限7万円で引越支援あり,【転勤なし／U・Iターン歓迎！】 本社／東京都港区南青山5-4-27 Barbizon104 3階…,月給25万円以上＋賞与年2回
トライアロー株式会社 | フルリモート、在宅勤務、出社・在宅併用…など働き方が色々！,【 通勤可能範囲/転勤なし 】 名古屋市内、三河エリア(刈谷、豊田、岡崎、安城)、三重、岐阜 、静…,【 月給28万円以上＋残業手当＋その他手当 】
アルテンジャパン株式会社 | 世界2位のエンジニアリングサービス!【ALTEN GROUP】の日本法人,東京・名古屋・宇都宮・福岡・仙台 ※希望のエリアで就業可能です。 ◆東京本社／東京都港区芝浦三丁目…,月給27万円〜55万円
株式会社グッドネス | 在宅案件増加＊年間休日120日以上＊大阪府緊急雇用対策に賛同,【転勤なし／U・Iターン歓迎！】 大阪本社、松山支社、またはプロジェクト先（大阪府内を中心とした関…,月給23万円〜50万円+諸手当※賞与年2回
株式会社NID東北 | JASDAQ上場企業 (株)エヌアイデイ 100%出資子会社 ☆転勤なし,【仙台市の各プロジェクト先での勤務となります】 《プロジェクト先》 仙台市内のお客様です。 《本社…,"月給：212,550円~376,300円＋諸手当 他、資格祝金など一時金あり 賞与4.2ヶ月(2020年度実績)"
株式会社アルファネット | 【東証一部上場「大塚商会」グループ】★11期連続増収増益★,大阪市内を中心とした大阪・京都・兵庫のプロジェクト先 ※勤務先は、希望を考慮して決定します。 ※自…,月給23万8000円〜40万円＋各種手当＋残業代全額支給＋賞与（昨年4.5カ月分支給＋決算賞与）
株式会社エルピオ | 地元で50年以上の歴史を持つ【総合エネルギー企業】,本社/千葉県市川市曽谷1-30-18 ◎転勤はありません ◎I/Uターン歓迎 ◎マイカー通勤OK（…,【月給】
株式会社プロト | 世界に広がる業界のリーディングカンパニー,＜ 転勤なし＊マイカー通勤OK＊UIターン歓迎 ＞ ▽本社 愛知県刈谷市井ヶ谷町桜島5番地 《通勤…,月給25万円以上 ＋ 賞与年2回 ＋ 諸手当
株式会社ソフトギア | ★任天堂、バンダイナムコ、SQUARE ENIX等との取引実績多数！,【転勤なし・IUターン歓迎】 ■本社／東京都新宿区新宿1-28-11　小杉ビル7F ＜アクセス＞…,"■月給339,500円〜 619,900円＋別途手当有"
芝情報株式会社 | 東京23区(人気エリア)に社宅あり*土日祝休み*Skype面接も可能！,【転勤なし／U・Iターン歓迎！】★都内の大手企業案件多数！ ＜本社＞ 東京都港区海岸2−1−24N…,月給21万円〜40万円＋各種手当
株式会社ビジネステック | 年間休日数123日／土日祝日休み／育児休暇取得・復帰実績あり,本社、もしくは茨城県内の各プロジェクト先 【本社住所】 茨城県ひたちなか市高場1丁目2番地25 ※…,月給24万円〜35万円（各種一律手当含む）
株式会社NAACS | ★お休みも柔軟に対応可！まるでフリーランスのように働ける会社,【転居を伴う転勤はありません／テレワーク導入中！】 ◆本社 東京都港区浜松町2-2-15　浜松町ダ…,月給24万3281円〜50万円
インタアクト株式会社 | ◆大手クライアントとの取引で安定性バツグン！◆充実の研修制度,東京都文京区小石川2-1-12 小石川トーセイビル5F（本社） または当社クライアント先（品川、豊…,月給23万円〜40万円
マイプリント株式会社 | 業界トップクラスメーカー完週休2日年休120日～残業月平均20h程,【転勤なし】社員食堂400円〜充実ランチ♪テラス席・カフェテリアあり♪ 本社/東京都多摩市永山6-…,月給：35万円〜＋交通費
株式会社アスタース | U・Iターンの社員多数！←遠方の方はWEB面接やWEB会社説明会も可,【マイカー通勤OK！転勤なし！】 石川県金沢市窪5-633 伏見台ビル1F -----------…,◆月給：25万円〜40万円
SATT九州株式会社 | 「駿台予備学校」運営の駿台グループ★業界のリーディング企業,◆転勤なし ◆マイカー通勤OK ◆UIターン歓迎 □宮崎県宮崎市広島1-18-12 宮崎フコク生命…,月給20万円〜30万円 +諸手当
株式会社ジーナス | 大手自動車メーカー等の案件に携われる！★月収30万円以上も可,★転勤なし／UIターン歓迎／神宮前駅より徒歩2分 愛知県名古屋市熱田区三本松町13-19 ホワイト…,月給18万円〜
株式会社フェロースタイル | Web予約・IoT開閉など自社サービス展開/残業1日1h程度/土日祝休,【本社】 東京都新宿区西新宿7-17-7 廣田ビル2F ＜交通アクセス＞ 各線「新宿駅」西口より徒…,＜未経験者＞
株式会社リードウェイ | 幅広いシステム開発◆「AI」などの最新技術や「自社内開発」も！,【本社（自社内開発）】or【プロジェクト先】 ★勤務地は希望を最大限考慮！ ★転勤はありません！…,【経験者】
株式会社高木製作所 | 創業131年/トヨタ自動車と直取引/年間休日121日/働き方改革推進,岡崎工場 愛知県岡崎市牧平町字岩田3-41 ◆転勤なし/U・Iターン歓迎 ◆マイカー通勤可,月給20万円以上
株式会社ベネス | 環境充実！【在宅勤務／年間休日125日／完全週休2日】,★リモートワーク！『おうちで開発』しましょう★ 働き方についてご相談ください！ WEB面接により、…,【月給】
学校法人国際理工学園 | 【国際理工情報デザイン専門学校】残業少なめ・土日祝休み,【千葉都市モノレール「穴川駅」から徒歩3分】 国際理工情報デザイン専門学校での勤務となります。 住…,"月給：28万5,000円以上 ＋手当、賞与年2回、期末賞与 等"
株式会社シーアールイー | 『航空宇宙設計・システム設計』のエンジニアリングカンパニー！,【　東海（愛知・岐阜）での募集　】 ※入社前に希望確認し、最大限考慮します。 ※転勤なし ★住宅手…,月給20万円以上 ＋手当(残業、食事、住宅など)＋賞与年3回
SATTwest株式会社 | 【駿台グループの安定経営基盤】業界高水準の働きやすい環境◎,【転勤・夜勤なし／U・Iターン歓迎】 ◆大阪事業所： 大阪府大阪市西区九条南1-2-20 ドーム前…,年俸制：300〜450万円
株式会社ブリングアッププラス | 年間休日120日以上！右肩上がりの企業で是非活躍してください！,首都圏を中心とした各プロジェクト先(東京都・千葉県・神奈川県・埼玉県) ※通勤時間等を考慮して、プ…,年俸制
株式会社IXME | ◆社宅・新生活費用補助！上京したい方・東京で働きたい方歓迎,【転勤なし／UIターン歓迎】東京23区（渋谷店・日暮里）を中心に神奈川県、埼玉県、千葉県の各プロジ…,◆月給20万円〜33万円
株式会社デジタルクリエイト | 土日祝休＆年休125日／残業ほぼ無／退職金有／社会福祉に貢献！,◎駅チカ！ ◎転勤なし！ 【本社】 東京都千代田区神田西福田町4　ユニゾ神田西福田町ビル8階 ＜交…,月給30万円〜50万円 + 諸手当 + 賞与年2回
株式会社アクセル・モード | ＊設立より11期連続で増収増益！事業拡大中の企業です＊,＜在宅勤務となります＞ 全社員がテレワークでの勤務のため、全国どこでも仕事ができます。 【本社】通…,月給21万円以上＋残業代全額支給＋諸手当＋賞与
株式会社システムプロステージ | 設立32年！自社内開発強化中・上流工程から携われる　★転勤なし,＜原則転勤なし！アクセス抜群の好立地＞ ■本社（福岡市博多区博多駅前1-15-12） もしくは ■…,月給18万円〜40万円
株式会社NTTデータ東北 | 【株式会社NTTデータ(東証1部上場)グループ】年間休日120日,【転勤なし】【U・Iターン歓迎！】 宮城県仙台市青葉区一番町1-9-1 仙台トラストタワー21階…,"月給　243,260円〜＋諸手当＋賞与年2回"
株式会社NTTデータ東北 | 【NTTデータ(東証1部上場)グループ】年間休日120日以上(土日祝),【原則転勤なし】【U・Iターン歓迎！】 自社内案件がほとんどなので、腰を据えて働いていただける環境…,"月給243,260円〜＋諸手当＋賞与年2回"
株式会社enish | 【東証一部上場企業の安定基盤】★年休120日以上 ★TVCM放送中,★原則在宅勤務／出勤ストレスはありません ★転勤なし 【本社】 東京都港区六本木6-1-24 ラピ…,年俸504万円〜900万円
株式会社グローバルギア | 東証一部上場『KLab株式会社』のグループ企業！安定感＆将来性◎, 転勤なし・天神勤務・UIターン歓迎 ◎本社：福岡県福岡市中央区今泉1-12-8 天神QRビル ■…,■■ 前給保証 ■■
株式会社D2C | 5月9日(日)マイナビ転職フェア 宮崎に出展！★完全週休2日制,◆転勤なし ◆マイカー通勤OK 宮崎県宮崎市橘通東1-7-4　第一宮銀ビル6F ※JR「宮崎駅」よ…,月給：18.2万円 〜 42万円
株式会社トラウム | ＼Web面接も実施中／ 業績好調に伴い、新拠点の開設が決定！,岡山市北区下石井1丁目1番17号 アクロスキューブビル3階 ※上記のオフィスもしくは、 岡山県内の…,月給22万円以上 + 諸手当
株式会社InfinityWorld | 完全週休2日制・残業ほぼゼロ！【福岡市勤務】,★博多や天神へのアクセス良好♪ ＊転勤なし 【本社】福岡市博多区上川端町11-8川端中央ビル408…,月給20万〜45万円 ＋ 交通費 + 諸手当
ケービーソフトウェア株式会社 | 【 創業30周年 】フレックス勤務/年間休日120日/WEB面接OK,＼UIターン歓迎・転勤なし／ 〒 850-0067 長崎県長崎市小浦町20番地 ※マイカー通勤OK,月給20万円〜35万円 ＋ 諸手当
インフォニイ株式会社 | ◎有給消化10.8日 ◎残業10.6時間 ◎転勤なし ◎完全週休2日制,■本社／福岡市博多区博多駅前1−4−1　博多駅前第一生命ビル6F ※地下鉄空港線「祇園駅」P1出口…,【経験5年以上】
ビーコミュニケーション株式会社 | ＊社員全員が現役エンジニア＊年間休日126日＊30代活躍中 残業少,＊ご希望を最大限考慮した配属を行います。 東京23区をメインとした東京都内、神奈川県の各プロジェク…,月給30万円以上
JBCC株式会社 | ▼△2021年5月8日(土)マイナビ転職フェア名古屋 出展▲▽,【 愛知県名古屋市、静岡県静岡市のうち、希望の勤務地を考慮いたします 】 ◆名古屋NHK事業所 愛…,"月給24万4,000円以上＋諸手当"
スズキ株式会社 | 「人と同じ事はやらない。やるなら世界一を目指すのがスズキ」,横浜研究所(神奈川県横浜市)又はその他国内事業所,"修士了：月給23万4,000円以上"
スズキ株式会社 | 「人と同じ事はやらない。やるなら世界一を目指すのがスズキ」,本社(浜松市)又はその他国内事業所,"修士了：月給23万4,000円以上"
学校法人大原学園 | 「本気になったら大原」｜年間休日120日以上・昨年度賞与5ヶ月分,＜関西エリア限定募集！＞ 希望と居住地を考慮し、大阪・京都・兵庫にある各校へ配属します。 ■大阪校…,"■月給22万4,100円〜28万6,700円 ＋ 諸手当 ＋ 賞与年2回"
学校法人沖縄大学 | ＼ U・Iターンも大歓迎 ／ 未経験者もお気軽にご応募ください。,【 転勤なし 】 沖縄県那覇市国場555番地 ※マイカー通勤OK（ 規定あり ） ※U・Iターンも…,"月給182,200円〜230,100円＋諸手当"
医療法人社団俊聖会 | 甘木中央病院／昭和33年の開院以来、堅実な経営で地域に貢献,福岡県朝倉市甘木667 ※県外から通っている社員もいます！働きやすさが魅力の一つです！ ※転勤なし…,月給22万円〜35万円
セイコーシステムエンジニアリング株式会社 | 北海道最大手コンビニ【セイコーマート】を支えるIT部門,＜システム開発業務＞ 本社／札幌市中央区南9条西5丁目 421番地パーク9.5ビル（セコマ本社内）…,月給　25万円〜45万円
シャープマーケティングジャパン株式会社 | ビジネスソリューション社 【シャープ株式会社連結子会社】,★東京・大阪は積極募集中！ 東京、大阪、千葉、札幌、仙台、名古屋、広島、福岡のいずれかでの勤務。…,"月給：220,000円〜"
株式会社デジタル・ヒュージ・テクノロジー | ★年間休日120日以上 ★WEBデザイン経験者もぜひ！,＼神田・秋葉原・小伝馬町・新日本橋・岩本町・三越前から徒歩スグの好立地！／ ■本社／東京都千代田区…,■未経験者の方
中央交易株式会社 | 国内自動車メーカーと取引で安定基盤｜本社採用／転勤なし,【マイカー通勤可／駐車場完備】 岐阜県岐阜市西鶉1丁目38−2,月給20万3000円〜29万5000円
株式会社アイシス | ◆年休122日 ◆フレックスタイム(中抜けOK) ◆出戻り社員も在籍,【 名古屋市瑞穂区の自社オフィス 】 ※地下鉄新瑞橋4番出口より徒歩1分 ※駅チカ＊* 【 本社…,月給21万〜50万円
株式会社鹿児島讀賣テレビ | 【 KYT★NNN系列 】☆IT、ICT化を加速させていくメンバーを募集,★★ 県外からのUターン歓迎/マイカー通勤可★★ ■鹿児島県鹿児島市与次郎1-9-34,月給30万円〜40万円 ＋ 残業手当
株式会社ワンノブアカインド | ★昇給年4回★週4勤務OK★トリプルディスプレイなど抜群の環境,《転勤なし／「虎ノ門ヒルズ駅」徒歩2分》 【本社】 東京都港区虎ノ門3-4-7 虎ノ門36森ビル1…,月給40万円〜65万円＋賞与年2回＋各種手当
株式会社エスユーエス | 【マザーズ上場】希望エリア就職率97％／有給休暇取得率74％,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回）
株式会社エスユーエス | 【マザーズ上場】年休124日/残業月平均19.4h/有給休暇取得率74％,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回）
株式会社プロダクション・アイジー | 『攻殻機動隊』シリーズ、『PSYCHO-PASS サイコパス』等を制作,【転勤なし／三鷹駅から徒歩4分のオフィス】 ●本社 東京都武蔵野市中町2-1-9 ＜アクセス＞ J…,年俸制276万円以上+賞与年2回
株式会社Looop | 【売上高500億円超】エネルギー事業で社会貢献を目指す成長企業,【本社サテライトオフィス】 東京都台東区上野3-23-6 三菱UFJ信託銀行上野ビル7階 ＜アクセ…, 月給：30万円〜 ＋ 賞与（年4回）
株式会社レッティ | Web面接実施中！年休125日・月平均残業時間14.5Hで働きやすさ◎,◆名古屋金山駅より徒歩1分の本社 or 愛知県もしくは岐阜県内のプロジェクト先 ★転勤なし 【 本…,"◆月給200,000円〜40万円＋諸手当＋残業手当100％支給"
株式会社医療新聞社  | 医療情報サイトの運営／医療に特化した書籍の発刊,【転勤なし】 東京都新宿区上落合2-22-11 加瀬ビル155-7階 <アクセス> 都営大江戸線「…,月給30万円〜45万円＋交通費全額支給（新幹線は除く）
ヤマハ発動機ビズパートナー株式会社 | ヤマハ発動機100％出資｜年間休日121日｜賞与3.5ヶ月分支給,ヤマハ発動機グループを中心に 静岡県内の優良メーカーが勤務地となります。 【U・Iターン歓迎】 ◎…,"日給月給：22万5,000円〜31万円 ＋ 賞与（ 年2回：計3.5ヶ月分支給 ※昨年度実績※ ）"
株式会社ティービーエス | 今絶好調の通販業界！体制強化のため、新戦力を増員,三芳第二物流センター 埼玉県入間郡三芳町北永井689-1 ※マイカー通勤OK！駐車場完備 ※埼玉県…,【月給】27万円以上
株式会社エンビーコア | 自社内開発100％◆完全土日祝休み◆年休125日◆残業月平均10h程,★各線「千種駅」より直結で徒歩1分 ★客先常駐なし ★転勤なし 愛知県名古屋市東区葵3丁目15-3…,■実務未経験者
株式会社大塚商会 | 【転職フェアオンライン東京3/20(日)に参画予定！】,【東京・大阪・宮城】の3地区で募集中です。 ≪東京≫本社ビル 東京都千代田区飯田橋2-18-4 ≪…,月給22万円〜40万円＋賞与年2回＋各種手当あり(住宅手当・家族手当など)
"株式会社ソフトエイジェンシー | ""インフラからアプリケーションまで全て自社で構築""",●本社／栃木県小山市西城南5丁目16番地9 ◆マイカー通勤可 ※駐車場完備,●月給20万 〜 35万円 ＋ 諸手当 ＋ 賞与 
株式会社ウェブフロンティア | 横浜ランドマークタワー31階。開発強化のため2018年5月増床移転,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】
株式会社ウェブフロンティア | 横浜ランドマークタワー31階。開発強化のため2018年5月増床移転,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】 
株式会社ウェブフロンティア | 【横浜ランドマークタワー31階☆リモートワークも積極導入中！】,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】 
株式会社ウェブフロンティア  | 【横浜ランドマークタワー31階☆リモートワークも積極導入中！】,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】 
