会社名,勤務地,給与
株式会社divx | 「TECH CAMP」を運営する(株)divグループの急成長ITベンチャー,★転勤なし ★自社オフィス（出社）&在宅勤務 ★フルリモート（応相談） 在宅勤務（リモートワーク）…,【月給】37万5000円〜（固定残業代含む）
株式会社Ｒ－ＴＧエージェント | <コロナ禍でも業績好調の成長企業>★経験に見合った待遇でお迎え,■東京都新宿区西新宿6-18-1 住友不動産新宿セントラルパークタワー19階 ★新宿駅から無料シャ…,■月給35万円〜50万円『＋月4万円の家賃補助※該当者 』
株式会社大成社 | ★話だけ聞きたいでもOK！お気軽にご応募下さい！★副業もOK,★現在はリモート勤務が中心になっています。 プロジェクト先は東京23区を中心とする首都圏（東京、神…,月給35万円〜90万円＋諸手当（残業手当100%支給、交通費全額）
株式会社夢テクノロジー | 【大阪府緊急雇用対策に賛同】腰を据えて働ける！残業少なめ！,全国いずれかのプロジェクト先 ★在宅勤務のプロジェクトもございます★ ※希望エリアを考慮 ※U・I…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回
株式会社GSI | 土日祝休★年休128日★有給消化率71％★定着率92％★リモート有,★勤務地は東京・大阪・札幌・福岡・仙台が選べます！ ★新OPENの仙台は積極採用中 ★100％転勤…,〈月給〉
株式会社インターフェイス | ★設立40年の安定基盤★土日祝休★残業少なめ★福利厚生◎,【 転勤なし 】 ◆本社 東京都港区芝浦3-20-9 BR芝浦Nビル 4階 ・JR山手線『田町駅』…,"■月給22万6,500円〜＋残業代(発生した場合)・交通費全額支給＋諸手当(家族手当＋各種資格の合格祝い金な…"
株式会社FAM　 | 【IT、Webへの興味や勉強をしている方は大歓迎】★年休120日以上,【本社もしくは各プロジェクト先】 ★勤務地は希望を最大限考慮します ★案件によってはリモート勤務も…,■未経験者：月給20万円以上
株式会社三鋭システム | 【自社製品で特許取得】★最大20万円赴任補助★男性育休実績有,転勤なし！本社または首都圏を中心とする顧客先！ 本社／東京都千代田区外神田5-1-3　ニュー末広ビ…,月給21万5000円〜
株式会社クラフト | 社員の約7割がリモートワーク|賞与年4カ月|産休育休実績あり,【東京23区・神奈川県のプロジェクト先】 東京都千代田区/東京都中央区/東京都港区 東京都新宿区/…,月給21万2000円〜＋賞与年2回（年間4ヶ月分／昨年度実績）
株式会社セラク | 大阪府緊急雇用対策に賛同 ☆最大2ヵ月の研修でイチから学べる！,＜関西圏積極採用中＞ 東京・大阪の本社または各支社・支店 及び近郊のプロジェクト先(埼玉県さいたま…,◆月給21万円〜(未経験の方)
